Date,Team A,Team B,Team A Score,Team B Score,Total Combined Score,MGM Point Spread,MGM Over/Under,BetMGM Over/Under,BetMGM Point Spread,Circa Over/Under,Circa Point Spread,DraftKings Over/Under,DraftKings Point Spread,FanDuel Over/Under,FanDuel Point Spread,Market Over/Under,Market Point Spread,William Hill Over/Under,William Hill Point Spread
03/17/26,University of Maryland Baltimore County,Howard University,83,86,169,pk,140.5,,,,,143.5,HOW -1.5,,,142.0,pk,,
03/17/26,University of Texas at Austin,North Carolina State University,68,66,134,pk,157.5,,,,,157.5,NCSU -1.5,,,157.5,pk,,
03/18/26,Lehigh University,Prairie View A&M University,55,67,122,Lehigh -3.5,142.5,,,,,140.5,LEH -3.5,,,141.5,Lehigh -3.5,,
03/18/26,Southern Methodist University,Miami University,79,89,168,SMU -6.5,164.5,,,,,162.5,SMU -6.5,,,163.5,SMU -6.5,,
03/19/26,Duke University,Siena College,71,65,136,Duke -28.5,135.5,,,,,137.5,DUKE -28.5,,,136.5,Duke -28.5,,
03/19/26,Ohio State University,Texas Christian University,64,66,130,TBD,0.0,,,,,145.5,OSU -2.5,,,145.5,OSU -2.5,,
03/19/26,St. John's University,University of Northern Iowa,79,53,132,TBD,0.0,,,,,133.5,SJU -10.5,,,133.5,SJU -10.5,,
03/19/26,University of Kansas,California Baptist University,68,60,128,TBD,0.0,,,,,142.5,KU -14.5,,,142.5,KU -14.5,,
03/19/26,University of Louisville,University of South Florida,83,79,162,TBD,0.0,,,,,160.5,LOU -3.5,,,160.5,LOU -3.5,,
03/19/26,Michigan State University,North Dakota State University,92,67,159,TBD,0.0,,,,,144.5,MSU -16.5,,,144.5,MSU -16.5,,
03/19/26,University of California Los Angeles,University of Central Florida,75,71,146,TBD,0.0,,,,,151.5,UCLA -5.5,,,151.5,UCLA -5.5,,
03/19/26,University of Connecticut,Furman University,82,71,153,TBD,0.0,,,,,133.5,CONN -20.5,,,133.5,CONN -20.5,,
03/19/26,University of Arizona,Long Island University,92,58,150,TBD,0.0,,,,,147.5,ARIZ -30.5,,,147.5,ARIZ -30.5,,
03/19/26,Villanova University,Utah State University,76,86,162,TBD,0.0,,,,,146.5,USU -1.5,,,146.5,USU -1.5,,
03/19/26,University of Wisconsin,High Point University,82,83,165,TBD,0.0,,,,,161.5,WIS -10.5,,,161.5,WIS -10.5,,
03/19/26,University of Arkansas,University of Hawaii,97,78,175,TBD,0.0,,,,,158.5,ARK -14.5,,,158.5,ARK -14.5,,
03/19/26,Brigham Young University,University of Texas at Austin,71,79,150,TBD,0.0,,,,,156.5,BYU -2.5,,,156.5,BYU -2.5,,
03/19/26,Gonzaga University,Kennesaw State University,73,64,137,TBD,0.0,,,,,152.5,GONZ -20.5,,,152.5,GONZ -20.5,,
03/19/26,University of Miami,University of Missouri,80,66,146,TBD,0.0,,,,,144.5,MIA -1.5,,,144.5,MIA -1.5,,
03/19/26,Purdue University,Queens University of Charlotte,104,71,175,TBD,0.0,,,,,159.5,PUR -25.5,,,159.5,PUR -25.5,,
03/20/26,University of Florida,Prairie View A&M University,114,55,169,TBD,0.0,,,,,154.5,FLA -35.5,,,154.5,FLA -35.5,,
03/20/26,Clemson University,University of Iowa,61,67,128,TBD,0.0,,,,,130.5,IOWA -1.5,,,130.5,IOWA -1.5,,
03/20/26,Vanderbilt University,McNeese State University,78,68,146,TBD,0.0,,,,,148.5,VAN -12.5,,,148.5,VAN -12.5,,
03/20/26,University of Nebraska,Troy University,76,47,123,TBD,0.0,,,,,139.5,NEB -13.5,,,139.5,NEB -13.5,,
03/20/26,University of North Carolina,Virginia Commonwealth University,78,82,160,TBD,0.0,,,,,150.5,UNC -2.5,,,150.5,UNC -2.5,,
03/20/26,University of Illinois,University of Pennsylvania,105,70,175,TBD,0.0,,,,,150.5,ILL -25.5,,,150.5,ILL -25.5,,
03/20/26,Saint Mary's College of California,Texas A&M University,50,63,113,TBD,0.0,,,,,149.5,SMC -2.5,,,149.5,SMC -2.5,,
03/20/26,University of Houston,University of Idaho,78,47,125,TBD,0.0,,,,,137.5,HOU -24.5,,,137.5,HOU -24.5,,
03/20/26,University of Michigan,Howard University,101,80,181,TBD,0.0,,,,,151.5,MICH -30.5,,,151.5,MICH -30.5,,
03/20/26,University of Georgia,Saint Louis University,77,102,179,TBD,0.0,,,,,167.5,UGA -1.5,,,167.5,UGA -1.5,,
03/20/26,Texas Tech University,University of Akron,91,71,162,TBD,0.0,,,,,154.5,TTU -6.5,,,154.5,TTU -6.5,,
03/20/26,University of Alabama,Hofstra University,90,70,160,TBD,0.0,,,,,158.5,ALA -11.5,,,158.5,ALA -11.5,,
03/20/26,University of Tennessee,Miami University,78,56,134,TBD,0.0,,,,,148.5,TENN -12.5,,,148.5,TENN -12.5,,
03/20/26,University of Virginia,Wright State University,82,73,155,TBD,0.0,,,,,146.5,UVA -17.5,,,146.5,UVA -17.5,,
03/20/26,University of Kentucky,Santa Clara University,89,84,173,TBD,0.0,,,,,157.5,UK -3.5,,,157.5,UK -3.5,,
03/20/26,Iowa State University,Tennessee State University,108,74,182,TBD,0.0,,,,,147.5,ISU -24.5,,,147.5,ISU -24.5,,
03/21/26,Duke University,Texas Christian University,81,58,139,TBD,0.0,,,,,140.5,DUKE -12.5,,,140.5,DUKE -12.5,,
03/21/26,St. John's University,University of Kansas,67,65,132,TBD,0.0,,,,,144.5,SJU -3.5,,,144.5,SJU -3.5,,
03/21/26,University of Louisville,Michigan State University,69,77,146,TBD,0.0,,,,,151.5,MSU -5.5,,,151.5,MSU -5.5,,
03/21/26,University of California Los Angeles,University of Connecticut,57,73,130,TBD,0.0,,,,,135.5,CONN -5.5,,,135.5,CONN -5.5,,
03/21/26,University of Arizona,Utah State University,78,66,144,TBD,0.0,,,,,153.5,ARIZ -11.5,,,153.5,ARIZ -11.5,,
03/21/26,High Point University,University of Arkansas,88,94,182,TBD,0.0,,,,,171.5,ARK -12.5,,,171.5,ARK -12.5,,
03/21/26,University of Texas at Austin,Gonzaga University,74,68,142,TBD,0.0,,,,,146.5,GONZ -5.5,,,146.5,GONZ -5.5,,
